epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,8,,,,,0.3888888955116272,1.0624147653579712
0,8,,,0.40140846371650696,1.0843867063522339,,
1,17,,,,,0.3888888955116272,1.0155938863754272
1,17,,,0.40140846371650696,1.0325464010238647,,
2,26,,,,,0.4722222089767456,0.9675686955451965
2,26,,,0.44366195797920227,0.9852035045623779,,
3,35,,,,,0.6111111044883728,0.9131370186805725
3,35,,,0.6126760840415955,0.9313773512840271,,
4,44,,,,,0.75,0.8505178093910217
4,44,,,0.7323943376541138,0.8718565106391907,,
5,53,,,,,0.8888888955116272,0.7786585092544556
5,53,,,0.8450704216957092,0.8032861351966858,,
6,62,,,,,0.8888888955116272,0.7012280225753784
6,62,,,0.9154929518699646,0.727595329284668,,
7,71,,,,,0.9722222089767456,0.6182111501693726
7,71,,,0.9154929518699646,0.6514872312545776,,
8,80,,,,,1.0,0.5333961248397827
8,80,,,0.9507042169570923,0.5726722478866577,,
9,89,,,,,1.0,0.45058780908584595
9,89,,,0.9577465057373047,0.49615177512168884,,
10,98,,,,,1.0,0.37358030676841736
10,98,,,0.9577465057373047,0.4227291941642761,,
11,107,,,,,1.0,0.302992582321167
11,107,,,0.9718309640884399,0.35720860958099365,,
12,116,,,,,1.0,0.24473243951797485
12,116,,,0.9718309640884399,0.29741746187210083,,
13,125,,,,,1.0,0.19743996858596802
13,125,,,0.9788732528686523,0.2479734569787979,,
14,134,,,,,1.0,0.16064152121543884
14,134,,,0.9929577708244324,0.2064458578824997,,
15,143,,,,,1.0,0.13158796727657318
15,143,,,0.9929577708244324,0.1738881766796112,,
16,152,,,,,1.0,0.10928172618150711
16,152,,,0.9929577708244324,0.14638003706932068,,
17,161,,,,,1.0,0.09218934178352356
17,161,,,0.9929577708244324,0.12636098265647888,,
18,170,,,,,1.0,0.07840637862682343
18,170,,,0.9929577708244324,0.1096884235739708,,
19,179,,,,,1.0,0.06769382953643799
