epoch,step,val_loss
0,8,1.098907232284546
1,17,1.062569499015808
2,26,1.0200122594833374
3,35,0.9693167209625244
4,44,0.9104803800582886
5,53,0.8411545753479004
6,62,0.7626698017120361
7,71,0.6764395833015442
8,80,0.5820363163948059
9,89,0.4824908673763275
10,98,0.3899042010307312
11,107,0.3077843487262726
12,116,0.24048791825771332
13,125,0.18683485686779022
14,134,0.14792020618915558
15,143,0.11878563463687897
16,152,0.09730586409568787
17,161,0.08088788390159607
18,170,0.06923940777778625
19,179,0.0596148818731308
20,188,0.05181911587715149
21,197,0.04534780606627464
22,206,0.039990682154893875
23,215,0.03533788397908211
24,224,0.03135883808135986
25,233,0.028684288263320923
26,242,0.025830987840890884
27,251,0.023337848484516144
28,260,0.020907318219542503
29,269,0.018912263214588165
30,278,0.01730339415371418
31,287,0.01600591279566288
32,296,0.014611659571528435
33,305,0.013645105063915253
34,314,0.012493756599724293
35,323,0.011730191297829151
36,332,0.010553989559412003
37,341,0.009735931642353535
38,350,0.009131464175879955
39,359,0.008561162278056145
40,368,0.007984761148691177
41,377,0.007567634806036949
42,386,0.007096854969859123
43,395,0.006545005366206169
44,404,0.006182217970490456
45,413,0.005853090900927782
46,422,0.005607633385807276
47,431,0.005178302060812712
48,440,0.00491461344063282
49,449,0.00471403868868947
50,458,0.0044515086337924
51,467,0.004282903391867876
52,476,0.003996334969997406
53,485,0.003807985922321677
54,494,0.003632313571870327
55,503,0.003497249446809292
56,512,0.0033253272995352745
57,521,0.003208551788702607
58,530,0.0030455845408141613
59,539,0.0028942113276571035
60,548,0.0027719747740775347
61,557,0.002688847715035081
62,566,0.0026012009475380182
63,575,0.0024971726816147566
64,584,0.00239701010286808
65,593,0.002297814004123211
66,602,0.002212201477959752
67,611,0.0021227416582405567
68,620,0.0020611046347767115
69,629,0.001984270755201578
70,638,0.0019188732840120792
71,647,0.0018420559354126453
72,656,0.0017755931476131082
73,665,0.0017286683432757854
74,674,0.0016681567067280412
75,683,0.0016146444249898195
76,692,0.0015548195224255323
77,701,0.0015162519412115216
78,710,0.001470433664508164
79,719,0.001427592826075852
80,728,0.0014000821392983198
81,737,0.0013530954020097852
82,746,0.0013122898526489735
83,755,0.0012718180660158396
84,764,0.0012319879606366158
85,773,0.0012042038142681122
86,782,0.0011732865823432803
87,791,0.0011359142372384667
88,800,0.0011015258496627212
89,809,0.0010858378373086452
90,818,0.0010515329195186496
91,827,0.0010287323966622353
92,836,0.0009927605278789997
93,845,0.0009751091129146516
94,854,0.0009547827066853642
95,863,0.0009296340867877007
96,872,0.0009036972769536078
97,881,0.000887703150510788
98,890,0.0008650643867440522
99,899,0.0008450796594843268
