epoch,step,test_acc,val_loss
0,8,,1.070695400238037
1,17,,1.040204405784607
2,26,,1.0034880638122559
3,35,,0.9563521146774292
4,44,,0.896509051322937
5,53,,0.8182973861694336
6,62,,0.7214878797531128
7,71,,0.6075520515441895
8,80,,0.491793692111969
9,89,,0.3849756419658661
10,98,,0.29627126455307007
11,107,,0.22616751492023468
12,116,,0.1745976209640503
13,125,,0.1375790685415268
14,134,,0.11124835908412933
15,143,,0.09098275750875473
16,152,,0.07602450251579285
17,161,,0.0645126923918724
18,170,,0.056548237800598145
19,179,,0.04976509511470795
20,188,,0.043862469494342804
21,197,,0.03916133567690849
22,206,,0.03499669209122658
23,215,,0.031727615743875504
24,224,,0.02866489440202713
25,233,,0.026071544736623764
26,242,,0.02378075197339058
27,251,,0.022017715498805046
28,260,,0.020555272698402405
29,269,,0.019103463739156723
30,278,,0.017706401646137238
31,287,,0.016377262771129608
32,296,,0.015277870930731297
33,305,,0.014218004420399666
34,314,,0.013407210819423199
35,323,,0.012741903774440289
36,332,,0.011866416782140732
37,341,,0.011144871823489666
38,350,,0.010420957580208778
39,359,,0.009979133494198322
40,368,,0.009361348114907742
41,377,,0.008978340774774551
42,386,,0.008354280143976212
43,395,,0.007925169542431831
44,404,,0.007469885982573032
45,413,,0.007180899381637573
46,422,,0.006725716404616833
47,431,,0.006336514838039875
48,440,,0.006139695178717375
49,449,,0.005871503613889217
50,458,,0.005552549380809069
51,467,,0.00523524871096015
52,476,,0.005007724277675152
53,485,,0.0047988370060920715
54,494,,0.0045586880296468735
55,503,,0.004370028153061867
56,512,,0.004212255589663982
57,521,,0.004090661182999611
58,530,,0.003980247303843498
59,539,,0.0038172085769474506
60,548,,0.003679582616314292
61,557,,0.0034793599043041468
62,566,,0.0033318176865577698
63,575,,0.003207985544577241
64,584,,0.003089158097282052
65,593,,0.003020139643922448
66,602,,0.002907481975853443
67,611,,0.0028433806728571653
68,620,,0.002724245423451066
69,629,,0.002704969374462962
70,638,,0.002595263533294201
71,647,,0.0025075036101043224
72,656,,0.002424691803753376
73,665,,0.0023543601855635643
74,674,,0.002285125432536006
75,683,,0.002252536825835705
76,692,,0.002199145732447505
77,701,,0.0021032255608588457
78,710,,0.002028316492214799
79,719,,0.0019805722404271364
80,728,,0.0019369721412658691
81,737,,0.0018776218639686704
82,746,,0.0018390619661659002
83,755,,0.0018183267675340176
84,764,,0.001786010921932757
85,773,,0.001720894011668861
86,782,,0.001685178722254932
87,791,,0.0016202977858483791
88,800,,0.001598180504515767
89,809,,0.0015870174393057823
90,818,,0.0015250397846102715
91,827,,0.0014631234807893634
92,836,,0.001450897310860455
93,845,,0.0014077071100473404
94,854,,0.001394724822603166
95,863,,0.0013679666444659233
96,872,,0.0013416889123618603
97,881,,0.0013288314221426845
98,890,,0.0012855245731770992
99,899,,0.0012608171673491597
100,900,1.0,
100,900,1.0,
