epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.4166666567325592,1.0095152854919434
0,8,0.4154929518699646,1.045050024986267,,
1,17,,,0.7777777910232544,0.9423287510871887
1,17,0.6197183132171631,0.9824187755584717,,
2,26,,,0.9166666865348816,0.870092511177063
2,26,0.8309859037399292,0.9163008332252502,,
3,35,,,0.9444444179534912,0.7900251746177673
3,35,0.908450722694397,0.8428969383239746,,
4,44,,,1.0,0.7010827660560608
4,44,0.9577465057373047,0.7643107175827026,,
5,53,,,1.0,0.6102482080459595
5,53,0.9647887349128723,0.6778253316879272,,
6,62,,,1.0,0.5180125832557678
6,62,0.9718309640884399,0.5911096334457397,,
7,71,,,1.0,0.4304308593273163
7,71,0.9718309640884399,0.5044751167297363,,
8,80,,,1.0,0.35096612572669983
8,80,0.9718309640884399,0.42337068915367126,,
9,89,,,1.0,0.2833578586578369
9,89,0.9718309640884399,0.35205820202827454,,
10,98,,,1.0,0.22830155491828918
10,98,0.9718309640884399,0.289670467376709,,
11,107,,,1.0,0.18325497210025787
11,107,0.9718309640884399,0.240142822265625,,
12,116,,,1.0,0.14816735684871674
12,116,0.9718309640884399,0.1998179405927658,,
13,125,,,1.0,0.12191411107778549
13,125,0.9718309640884399,0.16711315512657166,,
14,134,,,1.0,0.1014966294169426
14,134,0.9788732528686523,0.14221496880054474,,
15,143,,,1.0,0.08620651066303253
15,143,0.9929577708244324,0.12202838063240051,,
16,152,,,1.0,0.0732099711894989
16,152,0.9929577708244324,0.10621045529842377,,
17,161,,,1.0,0.06341084837913513
17,161,0.9929577708244324,0.09285709261894226,,
18,170,,,1.0,0.05621255189180374
18,170,0.9929577708244324,0.08237161487340927,,
19,179,,,1.0,0.04956850782036781
19,179,0.9929577708244324,0.07308837026357651,,
20,188,,,1.0,0.04389135167002678
20,188,0.9929577708244324,0.06537693738937378,,
21,197,,,1.0,0.039881423115730286
21,197,0.9929577708244324,0.05885789170861244,,
22,206,,,1.0,0.03583391010761261
22,206,0.9929577708244324,0.053638894110918045,,
23,215,,,1.0,0.0324653685092926
23,215,1.0,0.048459384590387344,,
24,224,,,1.0,0.029552744701504707
24,224,1.0,0.04409496486186981,,
25,233,,,1.0,0.02723645605146885
25,233,1.0,0.04094802588224411,,
26,242,,,1.0,0.024944350123405457
26,242,1.0,0.037272002547979355,,
27,251,,,1.0,0.022850612178444862
27,251,1.0,0.034550245851278305,,
28,260,,,1.0,0.020837632939219475
28,260,1.0,0.03215302154421806,,
29,269,,,1.0,0.019418001174926758
29,269,1.0,0.029670843854546547,,
30,278,,,1.0,0.018183544278144836
30,278,1.0,0.02754099853336811,,
31,287,,,1.0,0.017181243747472763
31,287,1.0,0.0256938673555851,,
32,296,,,1.0,0.015944333747029305
32,296,1.0,0.02400713786482811,,
33,305,,,1.0,0.01499667577445507
33,305,1.0,0.022585181519389153,,
34,314,,,1.0,0.013974534347653389
34,314,1.0,0.02094976417720318,,
35,323,,,1.0,0.013162121176719666
35,323,1.0,0.019924236461520195,,
36,332,,,1.0,0.012567156925797462
36,332,1.0,0.018735699355602264,,
37,341,,,1.0,0.011699210852384567
37,341,1.0,0.01752331480383873,,
38,350,,,1.0,0.010818978771567345
38,350,1.0,0.016765212640166283,,
39,359,,,1.0,0.010210310108959675
39,359,1.0,0.015665633603930473,,
40,368,,,1.0,0.009838154539465904
40,368,1.0,0.014798806048929691,,
41,377,,,1.0,0.00926240999251604
41,377,1.0,0.014070152305066586,,
42,386,,,1.0,0.009058181196451187
42,386,1.0,0.01330992579460144,,
43,395,,,1.0,0.008523712866008282
43,395,1.0,0.012651952914893627,,
44,404,,,1.0,0.008323580026626587
44,404,1.0,0.012005479075014591,,
45,413,,,1.0,0.007732712663710117
