epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,8,,,,,0.4722222089767456,1.0823651552200317
0,8,,,0.26760563254356384,1.1133512258529663,,
1,17,,,,,0.6666666865348816,1.0333786010742188
1,17,,,0.5563380122184753,1.0610681772232056,,
2,26,,,,,0.8333333134651184,0.9773382544517517
2,26,,,0.7323943376541138,1.009689211845398,,
3,35,,,,,0.9166666865348816,0.9111989140510559
3,35,,,0.8309859037399292,0.9498021006584167,,
4,44,,,,,0.9722222089767456,0.8354947566986084
4,44,,,0.8873239159584045,0.8817103505134583,,
5,53,,,,,1.0,0.7492613196372986
5,53,,,0.9295774698257446,0.8063984513282776,,
6,62,,,,,1.0,0.6560796499252319
6,62,,,0.9295774698257446,0.7198339700698853,,
7,71,,,,,1.0,0.5583518743515015
7,71,,,0.9507042169570923,0.6304553151130676,,
8,80,,,,,1.0,0.46332067251205444
8,80,,,0.9577465057373047,0.5402448773384094,,
9,89,,,,,1.0,0.37876057624816895
9,89,,,0.9647887349128723,0.4545277953147888,,
10,98,,,,,1.0,0.3049684762954712
10,98,,,0.9788732528686523,0.3775194585323334,,
11,107,,,,,1.0,0.24381239712238312
11,107,,,0.9788732528686523,0.30902522802352905,,
12,116,,,,,1.0,0.19360558688640594
12,116,,,0.98591548204422,0.2532312273979187,,
13,125,,,,,1.0,0.156063973903656
13,125,,,0.98591548204422,0.20784173905849457,,
14,134,,,,,1.0,0.1270945966243744
14,134,,,0.98591548204422,0.17240476608276367,,
15,143,,,,,1.0,0.10575538873672485
15,143,,,0.98591548204422,0.1444992572069168,,
16,152,,,,,1.0,0.08918112516403198
16,152,,,0.98591548204422,0.12381100654602051,,
17,161,,,,,1.0,0.07630448788404465
17,161,,,0.98591548204422,0.10683484375476837,,
18,170,,,,,1.0,0.0659404918551445
18,170,,,0.9929577708244324,0.0937151163816452,,
19,179,,,,,1.0,0.05775277316570282
19,179,,,0.9929577708244324,0.08238136768341064,,
20,188,,,,,1.0,0.05120520293712616
20,188,,,0.9929577708244324,0.0733800008893013,,
21,197,,,,,1.0,0.04564981162548065
21,197,,,0.9929577708244324,0.0662832111120224,,
22,206,,,,,1.0,0.041250236332416534
22,206,,,0.9929577708244324,0.05918518826365471,,
23,215,,,,,1.0,0.03724545240402222
23,215,,,0.9929577708244324,0.053606078028678894,,
24,224,,,,,1.0,0.033921413123607635
24,224,,,0.9929577708244324,0.04886043444275856,,
25,233,,,,,1.0,0.0309434924274683
25,233,,,0.9929577708244324,0.044793326407670975,,
26,242,,,,,1.0,0.028128474950790405
26,242,,,0.9929577708244324,0.04115116223692894,,
27,251,,,,,1.0,0.026186877861618996
27,251,,,0.9929577708244324,0.03777078539133072,,
28,260,,,,,1.0,0.02420227974653244
28,260,,,0.9929577708244324,0.034861236810684204,,
29,269,,,,,1.0,0.022380726411938667
29,269,,,0.9929577708244324,0.03221125155687332,,
30,278,,,,,1.0,0.020797083154320717
30,278,,,0.9929577708244324,0.029855210334062576,,
31,287,,,,,1.0,0.019307265058159828
31,287,,,1.0,0.02773868665099144,,
32,296,,,,,1.0,0.018220150843262672
32,296,,,1.0,0.02591864950954914,,
33,305,,,,,1.0,0.01713850162923336
33,305,,,1.0,0.024105526506900787,,
34,314,,,,,1.0,0.01626937836408615
34,314,,,1.0,0.022521326318383217,,
35,323,,,,,1.0,0.015370102599263191
35,323,,,1.0,0.021090693771839142,,
36,332,,,,,1.0,0.014417005702853203
36,332,,,1.0,0.019818173721432686,,
37,341,,,,,1.0,0.013562284409999847
37,341,,,1.0,0.01882590353488922,,
38,350,,,,,1.0,0.013077285140752792
38,350,,,1.0,0.017559988424181938,,
39,359,,,,,1.0,0.012247249484062195
39,359,,,1.0,0.016626307740807533,,
40,368,,,,,1.0,0.011895718052983284
