epoch,step,val_loss
0,8,1.0666372776031494
1,17,1.0248847007751465
2,26,0.9785849452018738
3,35,0.9220679402351379
4,44,0.8540804386138916
5,53,0.77455073595047
6,62,0.6854140758514404
7,71,0.5927937030792236
8,80,0.505013644695282
9,89,0.42560264468193054
10,98,0.35359540581703186
11,107,0.29129183292388916
12,116,0.23966428637504578
13,125,0.19666196405887604
14,134,0.16096945106983185
15,143,0.13317711651325226
16,152,0.11179137229919434
17,161,0.09461130201816559
18,170,0.08076973259449005
19,179,0.06880708783864975
20,188,0.060656752437353134
21,197,0.05425279587507248
22,206,0.047951776534318924
23,215,0.04292425140738487
24,224,0.03852156549692154
25,233,0.03439200296998024
26,242,0.03163694590330124
27,251,0.029117465019226074
28,260,0.027076711878180504
29,269,0.02488352730870247
30,278,0.02268056944012642
31,287,0.020880870521068573
32,296,0.019164500758051872
33,305,0.01795721799135208
34,314,0.0168712567538023
35,323,0.015623999759554863
36,332,0.014540116302669048
37,341,0.013431672006845474
38,350,0.01257878728210926
39,359,0.011786206625401974
40,368,0.011120455339550972
41,377,0.010556356981396675
42,386,0.009871762245893478
43,395,0.009263928979635239
44,404,0.008818349801003933
45,413,0.008325813338160515
46,422,0.007952113635838032
47,431,0.007519986014813185
48,440,0.007047657389193773
49,449,0.006688988767564297
50,458,0.0063989851623773575
51,467,0.006050448399037123
52,476,0.005785806104540825
53,485,0.005504189990460873
54,494,0.005214761942625046
55,503,0.004939510952681303
56,512,0.004665831103920937
57,521,0.004394331946969032
58,530,0.004097354132682085
59,539,0.003886417020112276
60,548,0.0036706654354929924
61,557,0.003508535912260413
62,566,0.003329812316223979
63,575,0.0031516174785792828
64,584,0.002979507902637124
65,593,0.0028461110778152943
66,602,0.0027173669077455997
67,611,0.002577955834567547
68,620,0.002474406734108925
69,629,0.002380204852670431
70,638,0.0022602733224630356
71,647,0.0021690267603844404
72,656,0.0020655873231589794
73,665,0.0019928435795009136
74,674,0.0019148497376590967
75,683,0.0018531986279413104
76,692,0.001776565914042294
77,701,0.0016987170092761517
78,710,0.001651796163059771
79,719,0.0015989047242328525
80,728,0.0015341878170147538
81,737,0.001488715410232544
82,746,0.0014378969790413976
83,755,0.0013821613974869251
84,764,0.0013361078454181552
85,773,0.0013027223758399487
86,782,0.001260867458768189
87,791,0.0012172816786915064
88,800,0.0011813173769041896
89,809,0.0011514925863593817
90,818,0.0011163161834701896
91,827,0.0010859129251912236
92,836,0.0010595648782327771
93,845,0.0010264333104714751
94,854,0.0010014704894274473
95,863,0.0009740774985402822
96,872,0.0009455488179810345
97,881,0.0009190210257656872
98,890,0.0008974960073828697
99,899,0.0008722303900867701
