epoch,step,train_acc,train_loss,val_acc,val_loss
0,8,,,0.2222222238779068,1.1769731044769287
0,8,0.28169015049934387,1.1664215326309204,,
1,17,,,0.2222222238779068,1.1281466484069824
1,17,0.28169015049934387,1.1210155487060547,,
2,26,,,0.3055555522441864,1.086525321006775
2,26,0.30281689763069153,1.0786691904067993,,
3,35,,,0.5555555820465088,1.04067063331604
3,35,0.43661972880363464,1.0377432107925415,,
4,44,,,0.6388888955116272,0.9851827621459961
4,44,0.6619718074798584,0.9880767464637756,,
5,53,,,0.8055555820465088,0.9164398908615112
5,53,0.8380281925201416,0.9248735904693604,,
6,62,,,0.9444444179534912,0.8344039916992188
6,62,0.9014084339141846,0.8501875996589661,,
7,71,,,0.9444444179534912,0.7445798516273499
7,71,0.9295774698257446,0.764369785785675,,
8,80,,,0.9444444179534912,0.6501404047012329
8,80,0.9436619877815247,0.6732010841369629,,
9,89,,,0.9444444179534912,0.555856466293335
9,89,0.9507042169570923,0.581276535987854,,
10,98,,,0.9722222089767456,0.4653216600418091
10,98,0.9507042169570923,0.49302130937576294,,
11,107,,,0.9444444179534912,0.3858940899372101
11,107,0.9647887349128723,0.4128941595554352,,
12,116,,,1.0,0.31825074553489685
12,116,0.9647887349128723,0.3426662087440491,,
13,125,,,1.0,0.26283562183380127
13,125,0.9647887349128723,0.28582873940467834,,
14,134,,,1.0,0.21986974775791168
14,134,0.9718309640884399,0.24014519155025482,,
15,143,,,1.0,0.18607650697231293
15,143,0.9718309640884399,0.20332735776901245,,
16,152,,,1.0,0.15950530767440796
16,152,0.9788732528686523,0.1753358691930771,,
17,161,,,1.0,0.1385427862405777
17,161,0.98591548204422,0.15129579603672028,,
18,170,,,1.0,0.12101900577545166
18,170,0.98591548204422,0.13340085744857788,,
19,179,,,1.0,0.10694155097007751
19,179,0.98591548204422,0.11913125216960907,,
20,188,,,1.0,0.09530753642320633
20,188,0.98591548204422,0.10621622204780579,,
21,197,,,1.0,0.0852077305316925
21,197,0.98591548204422,0.09588588029146194,,
22,206,,,1.0,0.07692421227693558
22,206,0.9929577708244324,0.08722668886184692,,
23,215,,,1.0,0.06979107111692429
23,215,0.9929577708244324,0.07971882820129395,,
24,224,,,1.0,0.06393566727638245
24,224,0.9929577708244324,0.07313539832830429,,
25,233,,,1.0,0.058440446853637695
25,233,0.9929577708244324,0.06742652505636215,,
26,242,,,1.0,0.05377618968486786
26,242,0.9929577708244324,0.06268032640218735,,
27,251,,,1.0,0.04965861141681671
27,251,0.9929577708244324,0.05818794295191765,,
28,260,,,1.0,0.045887239277362823
28,260,0.9929577708244324,0.05421317741274834,,
29,269,,,1.0,0.04250168800354004
29,269,0.9929577708244324,0.0504833422601223,,
30,278,,,1.0,0.039511051028966904
30,278,0.9929577708244324,0.04744156822562218,,
31,287,,,1.0,0.036719098687171936
31,287,0.9929577708244324,0.044045329093933105,,
32,296,,,1.0,0.03454454615712166
32,296,0.9929577708244324,0.04148489236831665,,
33,305,,,1.0,0.032226357609033585
33,305,0.9929577708244324,0.038962580263614655,,
