epoch,step,test_acc,test_loss,train_acc,train_loss,val_acc,val_loss
0,8,,,,,0.4444444477558136,1.1063827276229858
0,8,,,0.4084506928920746,1.1176085472106934,,
1,17,,,,,0.5555555820465088,1.0695704221725464
1,17,,,0.5422534942626953,1.0723285675048828,,
2,26,,,,,0.5833333134651184,1.0370945930480957
2,26,,,0.6197183132171631,1.0377733707427979,,
3,35,,,,,0.6666666865348816,0.9984213709831238
3,35,,,0.6478873491287231,1.0028645992279053,,
4,44,,,,,0.8055555820465088,0.9507039189338684
4,44,,,0.7112675905227661,0.9588676691055298,,
5,53,,,,,0.8333333134651184,0.8900884985923767
5,53,,,0.8028169274330139,0.9046838283538818,,
6,62,,,,,0.8888888955116272,0.8158485889434814
6,62,,,0.8591549396514893,0.83626389503479,,
7,71,,,,,0.9444444179534912,0.7307162284851074
7,71,,,0.8943662047386169,0.756584644317627,,
8,80,,,,,0.9444444179534912,0.6350753307342529
8,80,,,0.9014084339141846,0.6662085056304932,,
9,89,,,,,0.9444444179534912,0.5320513844490051
9,89,,,0.9295774698257446,0.5754408240318298,,
10,98,,,,,0.9444444179534912,0.4318801760673523
10,98,,,0.9366196990013123,0.48539605736732483,,
11,107,,,,,0.9444444179534912,0.34414923191070557
11,107,,,0.9647887349128723,0.40021204948425293,,
12,116,,,,,0.9444444179534912,0.27364471554756165
12,116,,,0.9647887349128723,0.3259419798851013,,
13,125,,,,,0.9722222089767456,0.21584059298038483
13,125,,,0.9647887349128723,0.26865673065185547,,
14,134,,,,,0.9722222089767456,0.17398060858249664
14,134,,,0.9647887349128723,0.2209252119064331,,
15,143,,,,,0.9722222089767456,0.14329713582992554
15,143,,,0.9647887349128723,0.18524016439914703,,
16,152,,,,,1.0,0.11922477185726166
16,152,,,0.9647887349128723,0.15655121207237244,,
17,161,,,,,1.0,0.10031864792108536
17,161,,,0.9788732528686523,0.1351781040430069,,
18,170,,,,,1.0,0.08776113390922546
18,170,,,0.98591548204422,0.11746202409267426,,
19,179,,,,,1.0,0.07762473076581955
19,179,,,0.98591548204422,0.10280102491378784,,
20,188,,,,,1.0,0.06835968047380447
20,188,,,0.98591548204422,0.09147811681032181,,
21,197,,,,,1.0,0.0613536573946476
21,197,,,0.98591548204422,0.08162560313940048,,
22,206,,,,,1.0,0.05433337390422821
22,206,,,0.98591548204422,0.07325071841478348,,
23,215,,,,,1.0,0.0480295866727829
23,215,,,0.98591548204422,0.06584171950817108,,
24,224,,,,,1.0,0.043753013014793396
24,224,,,0.98591548204422,0.05887390300631523,,
25,233,,,,,1.0,0.04002740606665611
25,233,,,0.9929577708244324,0.05347543954849243,,
26,242,,,,,1.0,0.03629258647561073
26,242,,,0.9929577708244324,0.048557933419942856,,
27,251,,,,,1.0,0.033245474100112915
27,251,,,1.0,0.04406726732850075,,
28,260,,,,,1.0,0.030054233968257904
28,260,,,1.0,0.04069817438721657,,
29,269,,,,,1.0,0.02829187735915184
29,269,,,1.0,0.03713342174887657,,
30,278,,,,,1.0,0.02624954655766487
30,278,,,1.0,0.03424939513206482,,
31,287,,,,,1.0,0.02432166412472725
31,287,,,1.0,0.031366001814603806,,
32,296,,,,,1.0,0.02239544875919819
32,296,,,1.0,0.029198508709669113,,
33,305,,,,,1.0,0.02083129808306694
33,305,,,1.0,0.027075164020061493,,
34,314,,,,,1.0,0.01945260725915432
34,314,,,1.0,0.025133458897471428,,
35,323,,,,,1.0,0.018191680312156677
35,323,,,1.0,0.0238064955919981,,
36,332,,,,,1.0,0.01708155684173107
36,332,,,1.0,0.0219535231590271,,
37,341,,,,,1.0,0.016397129744291306
37,341,,,1.0,0.020498966798186302,,
38,350,,,,,1.0,0.015808410942554474
38,350,,,1.0,0.019474724307656288,,
39,359,,,,,1.0,0.01459998544305563
39,359,,,1.0,0.018164219334721565,,
40,368,,,,,1.0,0.01371764112263918
40,368,,,1.0,0.01719195954501629,,
41,377,,,,,1.0,0.013128601014614105
41,377,,,1.0,0.016140155494213104,,
42,386,,,,,1.0,0.01251333300024271
42,386,,,1.0,0.01519873645156622,,
43,395,,,,,1.0,0.012117422185838223
43,395,,,1.0,0.014323646202683449,,
44,404,,,,,1.0,0.011608924716711044
44,404,,,1.0,0.013514561578631401,,
45,413,,,,,1.0,0.011038710363209248
